trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
20811387-2013-COMBMAST-Sunday-16,15:34:00,15:34:00,4531,30,0,0
20818444-2013-COMBMAST-Sunday-16,15:38:00,15:38:00,4531,12,0,0
20818390-2013-COMBMAST-Sunday-16,15:52:00,15:52:00,4531,58,0,0
20811393-2013-COMBMAST-Sunday-16,15:53:00,15:53:00,4531,12,0,0
20818642-2013-COMBMAST-Sunday-16,16:08:00,16:08:00,4531,12,0,0
20818659-2013-COMBMAST-Sunday-16,16:23:00,16:23:00,4531,12,0,0
20811550-2013-COMBMAST-Sunday-16,16:34:00,16:34:00,4531,30,0,0
20818461-2013-COMBMAST-Sunday-16,16:38:00,16:38:00,4531,12,0,0
20811488-2013-COMBMAST-Sunday-16,16:52:00,16:52:00,4531,58,0,0
20811439-2013-COMBMAST-Sunday-16,16:53:00,16:53:00,4531,12,0,0
20818569-2013-COMBMAST-Sunday-16,17:08:00,17:08:00,4531,12,0,0
20818437-2013-COMBMAST-Sunday-16,17:23:00,17:23:00,4531,12,0,0
20818527-2013-COMBMAST-Sunday-16,17:34:00,17:34:00,4531,30,0,0
20818489-2013-COMBMAST-Sunday-16,17:38:00,17:38:00,4531,12,0,0
20818696-2013-COMBMAST-Sunday-16,17:52:00,17:52:00,4531,58,0,0
20811555-2013-COMBMAST-Sunday-16,17:53:00,17:53:00,4531,12,0,0
20811533-2013-COMBMAST-Sunday-16,18:08:00,18:08:00,4531,12,0,0
20811475-2013-COMBMAST-Sunday-16,18:23:00,18:23:00,4531,12,0,0
20811422-2013-COMBMAST-Sunday-16,18:34:00,18:34:00,4531,30,0,0
20818538-2013-COMBMAST-Sunday-16,18:38:00,18:38:00,4531,12,0,0
20811530-2013-COMBMAST-Sunday-16,18:50:00,18:50:00,4531,58,0,0
20818741-2013-COMBMAST-Sunday-16,18:52:00,18:52:00,4531,12,0,0
20818633-2013-COMBMAST-Sunday-16,19:07:00,19:07:00,4531,12,0,0
20818747-2013-COMBMAST-Sunday-16,19:22:00,19:22:00,4531,12,0,0
20811506-2013-COMBMAST-Sunday-16,19:48:00,19:48:00,4531,58,0,0
20808867-2013-COMBMAST-Weekday-17,6:17:00,6:17:00,4531,12,0,0
20808743-2013-COMBMAST-Weekday-17,6:29:00,6:29:00,4531,42,0,0
20815729-2013-COMBMAST-Weekday-17,6:30:00,6:30:00,4531,5,0,0
20807838-2013-COMBMAST-Weekday-17,6:35:00,6:35:00,4531,20,0,0
